SCFraction Space sdtev
0.13 0.1584088224683606 0.045504533976112684 
0.14 0.12317807597402033 0.032292371202194595 
0.15 0.08837756301419149 0.028693374487669388 
0.16 0.05808822209354577 0.023154738376101526 
0.17 0.038135380486697804 0.0160132264576544 
0.18 0.02875292563781869 0.013332921414259744 
0.19 0.016562012411003954 0.009105286987563518 
0.2 0.014172860543152688 0.008650620649899219 
0.21 0.009411370058294864 0.007936606266648216 
0.22 0.005421367725518561 0.003959066479865787 
0.23 0.004764874515430334 0.005328990839445845 
0.24 0.002163943712779543 0.002545041325343291 
0.25 0.0020161563763082596 0.002387060225389974 
0.26 0.0021118543511196805 0.0031749107733842217 
0.27 7.131147904392693E-4 0.0014424532833556497 
0.28 3.4830680513170766E-4 0.0011657886648537747 
0.29 5.331643014297952E-4 0.0011248783121251603 
0.3 0.0 0.0 
0.31 1.0471204188481676E-4 4.5642920874771454E-4 
0.32 6.124721603563474E-4 0.0026697042527253564 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 0.0 0.0 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


SCFraction TA3 sdtev
0.01 0.9780014322301893 0.013555438349048382 
0.02 0.9419560764524373 0.017045752181464806 
0.03 0.8979135147085975 0.024453648371787186 
0.04 0.8335831500959434 0.018789030678526282 
0.05 0.7766043522390728 0.017715958513798775 
0.06 0.7137948622459265 0.026844855732759593 
0.07 0.6466874176476337 0.026429351946747073 
0.08 0.5890839348255779 0.02554603148334846 
0.09 0.5031578508386791 0.026040357674060884 
0.1 0.4454135746713561 0.02379306572489164 
0.11 0.3593953192031972 0.03205037868844607 
0.12 0.2862219477056329 0.026019818268714967 
