SCFraction Space sdtev
0.03 4.5166015625E-4 1.969602188347496E-4 
0.04 0.0012215375900268555 3.7980110706644705E-4 
0.05 0.0026398420333862303 6.33009692763607E-4 
0.06 0.005271291732788086 0.0010876240935610427 
0.07 0.010243058204650879 0.002085811377665445 
0.08 0.01801643371582031 0.0036199880176352307 
0.09 0.032171893119812014 0.005952859087674931 
0.1 0.04923992156982422 0.008691564871622733 
0.11 0.0795147180557251 0.013987825652655484 
0.12 0.11322240829467774 0.01706936791416565 
0.13 0.15742115974426268 0.03504250776851772 
0.14 0.1813122510910034 0.02344549244679021 
0.15 0.20896649360656738 0.02656984682887172 
0.16 0.2342090129852295 0.02470259724927908 
0.17 0.2525993824005127 0.015965031666739547 
0.18 0.2609872341156006 0.01563089074315233 
0.19 0.2716893196105957 0.0105434736042556 
0.2 0.2689260482788086 0.010926857913140945 
0.21 0.26947870254516604 0.010894800242143867 
0.22 0.2736795425415039 0.010812701729637749 
0.23 0.2696348190307617 0.006182513090097096 
0.24 0.2680702209472656 0.008286495924329385 
0.25 0.26291351318359374 0.009331703417997292 
0.26 0.2609100341796875 0.009714371172366808 
0.27 0.2555206298828125 0.005605929585032446 
0.28 0.2509807586669922 0.006437152821267988 
0.29 0.24938926696777344 0.006557683835627896 
0.3 0.24151611328125 0.0052264771732497255 
0.31 0.2413665771484375 0.005730075745994808 
0.32 0.23374643325805664 0.005836804464678694 
0.33 0.2284912109375 0.006210920225875443 
0.34 0.22335205078125 0.005499548698462178 
0.35 0.21992950439453124 0.00834956852306202 
0.36 0.2149658203125 0.007136051307540718 
0.37 0.20848388671875 0.0069176180905211465 
0.38 0.20595703125 0.005687690647827817 
0.39 0.20220947265625 0.008493453744713877 
0.4 0.198046875 0.0057024477203792496 
0.41 0.19378662109375 0.006235331966216893 
0.42 0.191064453125 0.0059248256931335305 
0.43 0.18541259765625 0.004472157146474464 
0.44 0.18106689453125 0.005295811976888682 
0.45 0.17703857421875 0.007487707793675402 
0.46 0.17464599609375 0.0065642849447489085 
0.47 0.16800537109375 0.005561518614702369 
0.48 0.16397705078125 0.005571690778099193 
0.49 0.1594970703125 0.006031854707911003 
0.5 0.15694580078125 0.007573584936810776 


SCFraction TA3 sdtev
0.01 5.543231964111328E-5 1.5447518577646343E-5 
0.02 2.2373199462890624E-4 7.764098008399917E-5 
0.03 7.035970687866211E-4 1.9188957413033298E-4 
0.04 0.0020114660263061525 8.907586048122549E-4 
0.05 0.004672360420227051 0.0011017768491636336 
0.06 0.008744287490844726 0.0018102096562194897 
0.07 0.0165024995803833 0.0033183829699065305 
0.08 0.027973389625549315 0.004983180523154397 
0.09 0.049940180778503415 0.006483635622180097 
0.1 0.07114715576171875 0.012262215955568999 
0.11 0.11107995510101318 0.01832582882193815 
0.12 0.1532986879348755 0.019181941005410718 
0.13 0.20162041187286378 0.04039827289051184 
0.14 0.2283777952194214 0.024161544604916065 
0.15 0.2562819480895996 0.027254752507919422 
0.16 0.28152925968170167 0.023070176563113467 
0.17 0.29568185806274416 0.019931444707816826 
0.18 0.29831528663635254 0.016290216463973096 
0.19 0.30162386894226073 0.011513939091407825 
0.2 0.29739909172058104 0.014283103177517612 
0.21 0.29622716903686525 0.011587786515733858 
0.22 0.29324960708618164 0.00927258521382297 
0.23 0.28970890045166015 0.009799923380730246 
0.24 0.28251953125 0.006940506960856161 
0.25 0.2759864807128906 0.010794536390568757 
0.26 0.2676994323730469 0.006752631660285011 
0.27 0.26482315063476564 0.006755528758365989 
0.28 0.2573574066162109 0.007206995704788429 
0.29 0.24687232971191406 0.0068490075754975704 
0.3 0.247119140625 0.004872792453277364 
0.31 0.23755416870117188 0.007810853658001335 
0.32 0.2332071304321289 0.005139168066955728 
0.33 0.22711181640625 0.006049504676751059 
0.34 0.22364501953125 0.004853104817679955 
0.35 0.21535186767578124 0.007115873907271632 
0.36 0.21385498046875 0.0073325453157836945 
0.37 0.2078125 0.0056022693395557195 
0.38 0.20428466796875 0.008235495141875474 
0.39 0.19713134765625 0.008473288963123115 
0.4 0.19403076171875 0.007651725132596252 
0.41 0.187451171875 0.007247153150740306 
0.42 0.183203125 0.0059629317281278465 
0.43 0.1789794921875 0.0052412960926216156 
0.44 0.1744140625 0.005328980855359423 
0.45 0.17083740234375 0.00780290968677718 
