SCFraction Space sdtev
0.1 0.1662353515625 0.0073388119592068 
0.11 0.187841796875 0.010585234784102258 
0.12 0.2091552734375 0.011382060071259196 
0.13 0.23260498046875 0.020843644372080555 
0.14 0.2447998046875 0.015041935633881403 
0.15 0.258642578125 0.01533222562824624 
0.16 0.2675537109375 0.014525833761213868 
0.17 0.27728271484375 0.007892154885215209 
0.18 0.28006591796875 0.009653986829207655 
0.19 0.28349609375 0.0076551226350312675 
0.2 0.27911376953125 0.009389698903250206 
0.21 0.2765380859375 0.008342003285885044 
0.22 0.27742919921875 0.009413283383115456 
0.23 0.27249755859375 0.00624221077963509 
0.24 0.26939697265625 0.007722517615285664 
0.25 0.2642822265625 0.009750812741174902 
0.26 0.26229248046875 0.008298007277187987 
0.27 0.25589599609375 0.00563075036596021 
0.28 0.251318359375 0.006452152206583513 
0.29 0.250048828125 0.006857092684039416 
0.3 0.24151611328125 0.0052264771732497255 
0.31 0.241552734375 0.005753333245133945 
0.32 0.23397216796875 0.0051427832945368625 
0.33 0.2284912109375 0.006210920225875443 
0.34 0.22335205078125 0.005499548698462178 
0.35 0.22003173828125 0.008167543900987463 
0.36 0.2149658203125 0.007136051307540718 
0.37 0.20848388671875 0.0069176180905211465 
0.38 0.20595703125 0.005687690647827817 
0.39 0.20220947265625 0.008493453744713877 
0.4 0.198046875 0.0057024477203792496 
0.41 0.19378662109375 0.006235331966216893 
0.42 0.191064453125 0.0059248256931335305 
0.43 0.18541259765625 0.004472157146474464 
0.44 0.18106689453125 0.005295811976888682 
0.45 0.17703857421875 0.007487707793675402 
0.46 0.17464599609375 0.0065642849447489085 
0.47 0.16800537109375 0.005561518614702369 
0.48 0.16397705078125 0.005571690778099193 
0.49 0.1594970703125 0.006031854707911003 
0.5 0.15694580078125 0.007573584936810776 


SCFraction TA3 sdtev
0.01 0.03822021484375 9.595534118367431E-4 
0.02 0.0763916015625 0.0034430753403575523 
0.03 0.11165771484375 0.003960255189774392 
0.04 0.14530029296875 0.006403411143189655 
0.05 0.17716064453125 0.008707053854062815 
0.06 0.20546875 0.00757914113576429 
0.07 0.22998046875 0.008914643732591399 
0.08 0.2575927734375 0.011284448017147519 
0.09 0.27796630859375 0.009557871614716435 
0.1 0.29630126953125 0.009899977602595176 
0.11 0.31689453125 0.011305319092881584 
0.12 0.33382568359375 0.011115311368476488 
0.13 0.3447509765625 0.016540216534499764 
0.14 0.34735107421875 0.01028115421470835 
0.15 0.34739990234375 0.01016120056393672 
0.16 0.3452880859375 0.0076918246502712525 
0.17 0.34002685546875 0.007726144360837221 
0.18 0.3338623046875 0.008951508487612685 
0.19 0.3236572265625 0.007287137577734098 
0.2 0.3173583984375 0.009744820368261664 
0.21 0.30933837890625 0.007394872029830587 
0.22 0.300537109375 0.009434068877139414 
0.23 0.2950927734375 0.007248592305816438 
0.24 0.2848876953125 0.007388592430451582 
0.25 0.27860107421875 0.009192883361071224 
0.26 0.27049560546875 0.006121299774266504 
0.27 0.2656494140625 0.006025329292764643 
0.28 0.2580810546875 0.007110278732373937 
0.29 0.24776611328125 0.0067866153674472325 
0.3 0.247119140625 0.004872792453277364 
0.31 0.2379150390625 0.00794470506594783 
0.32 0.233447265625 0.004982263578250047 
0.33 0.22711181640625 0.006049504676751059 
0.34 0.22364501953125 0.004853104817679955 
0.35 0.21553955078125 0.007521859341182032 
0.36 0.21385498046875 0.0073325453157836945 
0.37 0.2078125 0.0056022693395557195 
0.38 0.20428466796875 0.008235495141875474 
0.39 0.19713134765625 0.008473288963123115 
0.4 0.19403076171875 0.007651725132596252 
0.41 0.187451171875 0.007247153150740306 
0.42 0.183203125 0.0059629317281278465 
0.43 0.1789794921875 0.0052412960926216156 
0.44 0.1744140625 0.005328980855359423 
0.45 0.17083740234375 0.00780290968677718 
0.46 0.166357421875 0.0050663738734991765 
0.47 0.16044921875 0.005232589189303813 
0.48 0.15699462890625 0.005597413019831292 
0.49 0.1552490234375 0.005862375127117336 
0.5 0.14935302734375 0.006533157051961855 


SCFraction TA4 sdtev
0.01 0.92340087890625 0.0013413855576071723 
0.02 0.84730224609375 0.0031592164781639887 
0.03 0.77481689453125 0.004109456775856757 
0.04 0.7067138671875 0.007169633303092218 
0.05 0.640283203125 0.00911086233569773 
0.06 0.5796630859375 0.009935983554125243 
0.07 0.5231201171875 0.008756483945372973 
0.08 0.4665283203125 0.013745767635585084 
0.09 0.41063232421875 0.01378334921248136 
0.1 0.36036376953125 0.012744158163826283 
0.11 0.29664306640625 0.019546727723467067 
0.12 0.2384521484375 0.017968169493212737 
0.13 0.17462158203125 0.04108930056020996 
0.14 0.13907470703125 0.0256612905692074 
0.15 0.102783203125 0.027335247352699273 
0.16 0.0698974609375 0.024456030822286506 
0.17 0.04583740234375 0.0167402644189964 
0.18 0.0352783203125 0.013791352424998436 
0.19 0.02017822265625 0.009373625018696586 
0.2 0.01827392578125 0.00958987202999506 
0.21 0.0119873046875 0.007553341640132277 
0.22 0.00633544921875 0.004279413288714568 
0.23 0.0057861328125 0.0056822910979002885 
0.24 0.0029296875 0.0031559366504997806 
0.25 0.0023193359375 0.002978615680952629 
0.26 0.0021240234375 0.003237142659501034 
0.27 9.1552734375E-4 0.0018623225466787546 
0.28 5.859375E-4 0.0017578125 
0.29 5.4931640625E-4 0.0012915823611567498 
0.3 0.0 0.0 
0.31 2.685546875E-4 8.933678937271478E-4 
0.32 3.173828125E-4 0.0013834396061042176 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 1.46484375E-4 6.385105874327159E-4 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


