SCFraction Av_proliferations stdev
0.01 0.0748046875 0.0018695497772538015 
0.02 0.14383544921875 0.003772960150875627 
0.03 0.20078125 0.0059348773183247865 
0.04 0.24337158203125 0.007213632511892913 
0.05 0.27532958984375 0.007276404393374887 
0.06 0.29354248046875 0.00854013363331686 
0.07 0.29815673828125 0.009166131256823971 
0.08 0.29686279296875 0.009126247934681326 
0.09 0.2800048828125 0.010653850430680775 
0.1 0.2622314453125 0.008541398548167841 
0.11 0.22669677734375 0.01553269300147205 
0.12 0.18870849609375 0.01347613679517572 
0.13 0.144482421875 0.032475530509345145 
0.14 0.11630859375 0.020169680357080236 
0.15 0.087939453125 0.02245544366405474 
0.16 0.0599365234375 0.02039831082419047 
0.17 0.03970947265625 0.014553581838746148 
0.18 0.031591796875 0.011815599145989628 
0.19 0.01868896484375 0.008568422969862977 
0.2 0.01597900390625 0.008272180088874712 
0.21 0.01092529296875 0.007026787507380161 
0.22 0.0060302734375 0.004112229780693933 
0.23 0.00538330078125 0.005253549443151048 
0.24 0.0027099609375 0.0028865434854080853 
0.25 0.0022705078125 0.0028960265134050853 
0.26 0.00196533203125 0.0030074666802898395 
0.27 8.30078125E-4 0.0017218405939946732 
0.28 5.2490234375E-4 0.0015094822152484093 
0.29 5.126953125E-4 0.0011882903831677693 
0.3 0.0 0.0 
0.31 2.5634765625E-4 8.438758756203306E-4 
0.32 2.685546875E-4 0.0011706027436266457 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 1.46484375E-4 6.385105874327159E-4 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


